@RELATION Algae

@ATTRIBUTE 0 REAL
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE class {0,1,2}

@DATA
22.222214, 62.499996, 6.77966, 4.1666665, 0
16.666664, 41.666664, 6.77966, 4.1666665, 0
11.111101, 50.0, 5.084745, 4.1666665, 0
8.333325, 45.83333, 8.474576, 4.1666665, 0
19.44444, 66.66666, 6.77966, 4.1666665, 0
30.555553, 79.16667, 11.864408, 12.5, 0
8.333325, 58.333336, 6.77966, 8.333334, 0
19.44444, 58.333336, 8.474576, 4.1666665, 0
2.7777753, 37.5, 6.77966, 4.1666665, 0
16.666664, 45.83333, 8.474576, 0.0, 0
30.555553, 70.83333, 8.474576, 4.1666665, 0
13.888889, 58.333336, 10.169492, 4.1666665, 0
13.888889, 41.666664, 6.77966, 0.0, 0
0.0, 41.666664, 1.6949155, 0.0, 0
41.666668, 83.33333, 3.389831, 4.1666665, 0
38.88888, 100.0, 8.474576, 12.5, 0
30.555553, 79.16667, 5.084745, 12.5, 0
22.222214, 62.499996, 6.77966, 8.333334, 0
38.88888, 75.0, 11.864408, 8.333334, 0
22.222214, 75.0, 8.474576, 8.333334, 0
30.555553, 58.333336, 11.864408, 4.1666665, 0
22.222214, 70.83333, 8.474576, 12.5, 0
8.333325, 66.66666, 0.0, 4.1666665, 0
22.222214, 54.166664, 11.864408, 16.666666, 0
13.888889, 58.333336, 15.254237, 4.1666665, 0
19.44444, 41.666664, 10.169492, 4.1666665, 0
19.44444, 58.333336, 10.169492, 12.5, 0
24.99999, 62.499996, 8.474576, 4.1666665, 0
24.99999, 58.333336, 6.77966, 4.1666665, 0
11.111101, 50.0, 10.169492, 4.1666665, 0
13.888889, 45.83333, 10.169492, 4.1666665, 0
30.555553, 58.333336, 8.474576, 12.5, 0
24.99999, 87.49999, 8.474576, 0.0, 0
33.33333, 91.66666, 6.77966, 4.1666665, 0
16.666664, 45.83333, 8.474576, 0.0, 0
19.44444, 50.0, 3.389831, 4.1666665, 0
33.33333, 62.499996, 5.084745, 4.1666665, 0
16.666664, 45.83333, 8.474576, 0.0, 0
2.7777753, 41.666664, 5.084745, 4.1666665, 0
22.222214, 58.333336, 8.474576, 4.1666665, 0
19.44444, 62.499996, 5.084745, 8.333334, 0
5.5555506, 12.499998, 5.084745, 8.333334, 0
2.7777753, 50.0, 5.084745, 4.1666665, 0
19.44444, 62.499996, 10.169492, 20.833332, 0
22.222214, 75.0, 15.254237, 12.5, 0
13.888889, 41.666664, 6.77966, 8.333334, 0
22.222214, 75.0, 10.169492, 4.1666665, 0
8.333325, 50.0, 6.77966, 4.1666665, 0
27.777779, 70.83333, 8.474576, 4.1666665, 0
19.44444, 54.166664, 6.77966, 4.1666665, 0
74.99999, 50.0, 62.711857, 54.166664, 1
58.333332, 50.0, 59.322033, 58.333332, 1
72.22222, 45.83333, 66.10169, 58.333332, 1
33.33333, 12.499998, 50.847458, 49.999996, 1
61.111107, 33.33333, 61.01695, 58.333332, 1
38.88888, 33.33333, 59.322033, 49.999996, 1
55.555557, 54.166664, 62.711857, 62.499996, 1
16.666664, 16.66667, 38.98305, 37.5, 1
63.88888, 37.5, 61.01695, 49.999996, 1
24.99999, 29.166668, 49.152542, 54.166664, 1
19.44444, 0.0, 42.37288, 37.5, 1
44.444443, 41.666664, 54.23728, 58.333332, 1
47.222218, 8.333335, 50.847458, 37.5, 1
49.999992, 37.5, 62.711857, 54.166664, 1
36.111103, 37.5, 44.067795, 49.999996, 1
66.66666, 45.83333, 57.627117, 54.166664, 1
36.111103, 41.666664, 59.322033, 58.333332, 1
41.666668, 29.166668, 52.542374, 37.5, 1
52.77777, 8.333335, 59.322033, 58.333332, 1
36.111103, 20.833332, 49.152542, 41.666664, 1
44.444443, 50.0, 64.406784, 70.83333, 1
49.999992, 33.33333, 50.847458, 49.999996, 1
55.555557, 20.833332, 66.10169, 58.333332, 1
49.999992, 33.33333, 62.711857, 45.833332, 1
58.333332, 37.5, 55.93221, 49.999996, 1
63.88888, 41.666664, 57.627117, 54.166664, 1
69.44444, 33.33333, 64.406784, 54.166664, 1
66.66666, 41.666664, 67.79661, 66.666664, 1
47.222218, 37.5, 59.322033, 58.333332, 1
38.88888, 24.999996, 42.37288, 37.5, 1
33.33333, 16.66667, 47.457626, 41.666664, 1
33.33333, 16.66667, 45.76271, 37.5, 1
41.666668, 29.166668, 49.152542, 45.833332, 1
47.222218, 29.166668, 69.49152, 62.499996, 1
30.555553, 41.666664, 59.322033, 58.333332, 1
47.222218, 58.333336, 59.322033, 62.499996, 1
66.66666, 45.83333, 62.711857, 58.333332, 1
55.555557, 12.499998, 57.627117, 49.999996, 1
36.111103, 41.666664, 52.542374, 49.999996, 1
33.33333, 20.833332, 50.847458, 49.999996, 1
33.33333, 24.999996, 57.627117, 45.833332, 1
49.999992, 41.666664, 61.01695, 54.166664, 1
41.666668, 24.999996, 50.847458, 45.833332, 1
19.44444, 12.499998, 38.98305, 37.5, 1
36.111103, 29.166668, 54.23728, 49.999996, 1
38.88888, 41.666664, 54.23728, 45.833332, 1
38.88888, 37.5, 54.23728, 49.999996, 1
52.77777, 37.5, 55.93221, 49.999996, 1
22.222214, 20.833332, 33.898304, 41.666664, 1
38.88888, 33.33333, 52.542374, 49.999996, 1
55.555557, 54.166664, 84.74576, 100.0, 2
41.666668, 29.166668, 69.49152, 75.0, 2
77.77777, 41.666664, 83.05085, 83.33332, 2
55.555557, 37.5, 77.9661, 70.83333, 2
61.111107, 41.666664, 81.355934, 87.5, 2
91.666664, 41.666664, 94.91525, 83.33332, 2
16.666664, 20.833332, 59.322033, 66.666664, 2
83.333336, 37.5, 89.830505, 70.83333, 2
66.66666, 20.833332, 81.355934, 70.83333, 2
80.55555, 66.66666, 86.440674, 100.0, 2
61.111107, 50.0, 69.49152, 79.166664, 2
58.333332, 29.166668, 72.88136, 75.0, 2
69.44444, 41.666664, 76.27119, 83.33332, 2
38.88888, 20.833332, 67.79661, 79.166664, 2
41.666668, 33.33333, 69.49152, 95.833336, 2
58.333332, 50.0, 72.88136, 91.666664, 2
61.111107, 41.666664, 76.27119, 70.83333, 2
94.444435, 75.0, 96.61017, 87.5, 2
94.444435, 24.999996, 100.0, 91.666664, 2
47.222218, 8.333335, 67.79661, 58.333332, 2
72.22222, 50.0, 79.66101, 91.666664, 2
36.111103, 33.33333, 66.10169, 79.166664, 2
94.444435, 33.33333, 96.61017, 79.166664, 2
55.555557, 29.166668, 66.10169, 70.83333, 2
66.66666, 54.166664, 79.66101, 83.33332, 2
80.55555, 50.0, 84.74576, 70.83333, 2
52.77777, 33.33333, 64.406784, 70.83333, 2
49.999992, 41.666664, 66.10169, 70.83333, 2
58.333332, 33.33333, 77.9661, 83.33332, 2
80.55555, 41.666664, 81.355934, 62.499996, 2
86.111115, 33.33333, 86.440674, 75.0, 2
100.0, 75.0, 91.52542, 79.166664, 2
58.333332, 33.33333, 77.9661, 87.5, 2
55.555557, 33.33333, 69.49152, 58.333332, 2
49.999992, 24.999996, 77.9661, 54.166664, 2
94.444435, 41.666664, 86.440674, 91.666664, 2
55.555557, 58.333336, 77.9661, 95.833336, 2
58.333332, 45.83333, 76.27119, 70.83333, 2
47.222218, 41.666664, 64.406784, 70.83333, 2
72.22222, 45.83333, 74.57627, 83.33332, 2
66.66666, 45.83333, 77.9661, 95.833336, 2
72.22222, 45.83333, 69.49152, 91.666664, 2
41.666668, 29.166668, 69.49152, 75.0, 2
69.44444, 50.0, 83.05085, 91.666664, 2
66.66666, 54.166664, 79.66101, 100.0, 2
66.66666, 41.666664, 71.18643, 91.666664, 2
55.555557, 20.833332, 67.79661, 75.0, 2
61.111107, 41.666664, 71.18643, 79.166664, 2
52.77777, 58.333336, 74.57627, 91.666664, 2
44.444443, 41.666664, 69.49152, 70.83333, 2
